input,output,instructions
"Is that what you're the head of your intelligence organization, the ISI, told the Taliban leadership when he went there the other day?","His main concern is that there were three different terrorist groups that have been attacking Pakistan using the Afghan soil. One is ISIS. ISIS has conducted various attacks especially in Balochistan against the Shia minority, the Hazara community in Balochistan. Then there are the TTP, the Pakistani Taliban, who were pushed out from here and who were conducted attacks into Pakistan from Afghanistan. Recently, they conducted an attack and targeted the Chinese workers in Pakistan. Then, thirdly, the Baloch terrorists. The separatists who use Afghan soil to conduct attacks in Balochistan. So, our main concern is that Afghan soil should not be used for terrorism in Pakistan.","Is that what you're the head of your intelligence organization, the ISI, told the Taliban leadership when he went there the other day?"
"I just find it hard to understand how the Pakistan Taliban can be terrorists in Pakistan's view, but not the Taliban, that they support and have close links with in Afghanistan, surely they're terrorists too in those terms?","look, Pakistan sided with the United States's international coalition after 9 11. Pakistan is the country that suffered more than any other coalition partner. In fact, all the coalition partners of US, put together, did not even suffer a fraction of the casualties this country went through. 80 000 Pakistanis died because we joined this war against the Taliban. Remember, we were the coalition. All the logistical support to fight the Taliban or to dislodge them went through Pakistan. Pakistan was an ally. There was a point we thought we were going down because there were 50 different militant groups attacking the state of Pakistan and there were different types of Pakistani Talibans. There were no militant Taliban in Pakistan before we joined this coalition. The old mujahideen groups who we had trained, financed by the United States who were fighting the Soviets, they called Pakistan collaborators and targeted us. The reason why the Taliban are back in power is not because of Pakistan. If you want to know the real reason why they are back in power, all you have to do is do an analysis of why did 300 000 well equipped Afghan army give up without a fight to 70 000 militia. If you go into the details, which we have, that is the reason why the Taliban are back in power. It's not because of Pakistan.","I just find it hard to understand how the Pakistan Taliban can be terrorists in Pakistan's view, but not the Taliban, that they support and have close links with in Afghanistan, surely they're terrorists too in those terms?"
"And yet there is this constant link. I mean they started off in Pakistan, they had all the support of the ISI of Pakistan intelligence at the time. I mean I saw this for myself. And they're now back and there is a definite sense here that Pakistan has gained because India, your big opponent, has been thrown out of Afghanistan completely and you're the ones that are benefiting.","look, you must know the situation and you do know because you know this part of the world better than others. After the Soviets and the US left Afghanistan in the 80s, Pakistan at the time was left with 5 million refugees. 5 million refugees stayed in Pakistan. After 9 11, there were still three million refugees in Pakistan and all of them were Pashtuns. So, what happened after the Taliban were dislodged. Firstly, all along the border of Pakistan, called FATA or tribal areas, there were Pashtun tribes which were split by the Durand line where there was no border. There was a free flow of people right from the time, you know, since we existed. When the Soviets were in Afghanistan, this is from where the whole jihad was launched because there's no border there and it's 2600 kilometers of border between two countries.","And yet there is this constant link. I mean they started off in Pakistan, they had all the support of the ISI of Pakistan intelligence at the time. I mean I saw this for myself. And they're now back and there is a definite sense here that Pakistan has gained because India, your big opponent, has been thrown out of Afghanistan completely and you're the ones that are benefiting."
Pakistan's got one really important lever that it can use to get what it wants in Afghanistan and that is the question of recognizing the Taliban as the legitimate government. Are you going to do that?,"People don't understand the Afghan character. Afghans do not accept outside interference. We were three countries, in 2001, that that recognized the then Taliban government. After 9 11, the US asked us to help them flush out Al-Qaeda or ask the Taliban to give up Osama Bin Laden. Pakistan tried its best. They flatly refused Pakistan. So what you're saying is that Pakistan has this leverage about recognition. I just went to the SCO conference in Dushanbe and I spoke to all the neighbors, Iran, Uzbekistan and Tajikistan, which is a very important country because there's a big Tajik minority in Afghanistan. I spoke to the Presidents there and all of us decided that we will collectively take a decision to recognize Afghanistan. The decision would depend upon will they have an inclusive government, their assurance of human rights and that Afghan soil should not be used for terrorism.",Pakistan's got one really important lever that it can use to get what it wants in Afghanistan and that is the question of recognizing the Taliban as the legitimate government. Are you going to do that?
"The fact is that Taliban aren't really going to have an inclusive government, are they? I mean they haven't even got the non-taliban people who've helped them into power.","So far, they haven’t got an inclusive government, as we hoped they would. They say that this is just a transition, this is not a the final government and you know we are trying. We should speak to them and ensure that they do have an inclusive government because there will not be any long-term sustainable peace or stability in Afghanistan, unless all the factions and all the ethnic groups are represented.","The fact is that Taliban aren't really going to have an inclusive government, are they? I mean they haven't even got the non-taliban people who've helped them into power."
"But I mean there's something more important than anything to the Taliban government and that's the kind of purity of their religious ideology. I mean they're never going to allow women to go to schools or anything like that, are they? Because it cuts across their whole notion of what a society should be.","I think they will allow women to go to schools. As far as we know they've assured us that they're doing it in phases. Look John, with what they do from now onwards, we can only hope to sort of persuade them and encourage them and incentivize them in that direction, but you know what happens, where they will go, I'm afraid I don't know.","But I mean there's something more important than anything to the Taliban government and that's the kind of purity of their religious ideology. I mean they're never going to allow women to go to schools or anything like that, are they? Because it cuts across their whole notion of what a society should be."
"But you can influence it by helping the other countries around Afghanistan to decide to recognize them, or not recognize.","We have already. I told you, John, I've already spoken to all the neighbors. I have spoken to the Iranian President. I've spoken to the Tajikistan President and the Uzbekistan President. They're the most relevant and we have all decided that unless and until there's an inclusive government and their respect for human rights, it would not be possible for us to recognize them.","But you can influence it by helping the other countries around Afghanistan to decide to recognize them, or not recognize."
So it really does depend on what they themselves do?,"Absolutely. Our biggest worry is that this will a huge humanitarian crisis and that would immediately lead to a refugee problem. Secondly, if they do not have an inclusive government and, gradually, it descends into a civil war, which it will if they do not include all the factions, that too will impact Pakistan. It will mean an unstable a chaotic Afghanistan. An ideal place for terrorists because if there's no control or if there's infighting going on, terrorism from Afghan soil will grow.",So it really does depend on what they themselves do?
"Can I just ask you, just go back on something you said, the Taliban leadership has assured you or suggested that it will allow women's education again. How strong was the assurance?","No, they've given public statements. Their spokesman came on television and said the women will be allowed to work and they will be allowed to study. He just used the word ‘in the Islamic context’. I guess what he means by Islamic context is that, you know, they will have segregation. In other words, they will not have co-education.","Can I just ask you, just go back on something you said, the Taliban leadership has assured you or suggested that it will allow women's education again. How strong was the assurance?"
"Before, of course, they would blow up girls schools and kill anybody in them.","I know, I mean, this idea of not allowing girls to study, believe me, has nothing to do with religion. I mean, in Pakistan, we give special stipends to our girls and the parents of girls. We give them extra money so that they would put their girls in school.","Before, of course, they would blow up girls schools and kill anybody in them."
"So when you see what's happening in Afghanistan, you must be pretty disgusted actually with the way that the Taliban are behaving.","I think, what we should hope for and try for is to make them go into that direction. Afghans are very strong people. Their women are very strong. I feel if we give them time and they will assert their rights.","So when you see what's happening in Afghanistan, you must be pretty disgusted actually with the way that the Taliban are behaving."
"Can I ask you now the other questions in Urdu? The relationship between Pakistan and India is really difficult at the moment, isn't it? Pakistan says that India must reverse Kashmir's special status. Is that realistic or unrealistic?","the problem here is, until India revokes the illegal change to the status of Kashmir in violation of United Nation Security Council’s resolution, it is extremely difficult for Pakistan to establish relations with India. Until they restore the status of Kashmir, we can’t talk with India. Only a plebiscite can decide the fate of the Kashmiris, according to the UNSC resolution.","Can I ask you now the other questions in Urdu? The relationship between Pakistan and India is really difficult at the moment, isn't it? Pakistan says that India must reverse Kashmir's special status. Is that realistic or unrealistic?"
"Prime minister, it's good to talk with you again. Hello. Thank you for taking the time.","Ex-, yes.","Prime minister, it's good to talk with you again. Hello. Thank you for taking the time."
He was at his home in Lahore. He was still recovering from the leg wounds he suffered as he rode in the truck on November 3.,"I had three bullets in my right leg, and there were two shooters. But one of the people in the procession - when he saw him pull a gun out, he put his hand on the gun. So the pistol, rather than hitting me in the chest, it went and hit my legs. I must say, I'm lucky to be alive.",He was at his home in Lahore. He was still recovering from the leg wounds he suffered as he rode in the truck on November 3.
"Khan publicly linked the shooting to three current officials who deny it. For evidence, he mainly cites his own connections in Pakistan's powerful Inter-Services Intelligence agency, which is part of the military. He calls for an independent investigation. He also alleges his political rivals were paid off to oppose him.","If we do not stand up to this injustice, I'm afraid that's how a country becomes a banana republic. Hence, it's a fight for rule of law.","Khan publicly linked the shooting to three current officials who deny it. For evidence, he mainly cites his own connections in Pakistan's powerful Inter-Services Intelligence agency, which is part of the military. He calls for an independent investigation. He also alleges his political rivals were paid off to oppose him."
"What's undeniable is that both military and civilian opponents turned against him. Two long-standing political parties are now governing in his place. Elections are expected by the latter part of next year. but Khan has been demanding them sooner. Though the economy suffered during his tenure, he says he can make it better.","The economy is sinking. The dollar earnings through remittances and exports - they're all going down. So basically, Pakistan is staring at default. Economy has tanked. And the sooner we get elections, a stable government comes in. That will lead to political stability, which will then, you know, have a chance for Pakistan to get out of this mess.","What's undeniable is that both military and civilian opponents turned against him. Two long-standing political parties are now governing in his place. Elections are expected by the latter part of next year. but Khan has been demanding them sooner. Though the economy suffered during his tenure, he says he can make it better."
"I understand the long-term problem with corruption in Pakistan, but a majority of the parliament who were elected to those positions and some of whom were your allies voted no confidence. Why not accept that as the constitutional result? It is the system you have.","The problem, Steve, is that in Pakistan, unfortunately, parliamentary democracy is still evolving. So when you have a situation which is unheard of in maybe the Anglo-Saxon parliamentary democracies where you can actually buy the loyalties of of people - and I'm talking about 24 members of Parliament were sold. They sold themselves, and others were offered who refused. So that in itself means that the whole idea of democracy gets flawed.","I understand the long-term problem with corruption in Pakistan, but a majority of the parliament who were elected to those positions and some of whom were your allies voted no confidence. Why not accept that as the constitutional result? It is the system you have."
"If you'll forgive me, though, these were not - were these not people who were your allies who were alleged to have been nudged in your direction once upon a time?","No, no. Two different things. One, they were allies, but they also sold themselves. So we could have entered the auction and actually offered much more money to other people to buy on our side. But we decided on principle that this is not what we're going to do.","If you'll forgive me, though, these were not - were these not people who were your allies who were alleged to have been nudged in your direction once upon a time?"
"You mentioned the need for stability. Is it in the best interest of the country at this time to turn the focus on your cause and your protest, rather than focusing on the more immediate problems of the country and running in next year's election?","Well, if we wait till next year's election, our party is only getting stronger. As the government weakens, we are gaining aid from lack of economic performance. But the country is sinking. My only worry is that the one year which has left, the country might just be pushed to the point where it might go out of all our controls. I mean, it'd be impossible to pull it back.","You mentioned the need for stability. Is it in the best interest of the country at this time to turn the focus on your cause and your protest, rather than focusing on the more immediate problems of the country and running in next year's election?"
"Should he ever return to power, Imran Khan would again have to deal with the country's generals. It is clear, though, that at one time, the military at least consented to you as prime minister. And now you feel that they are involved in a plot to kill you. How did your relationship with them go sour?","Well, look. The military is not something which all acts on, you know - they make a decision, the whole military acts. I'm specifically talking about this man who's in the intelligence agency. Whether the whole military had anything to do with it I don't know. But I know that the ISI is under the prime minister because it was under me when I was the prime minister.","Should he ever return to power, Imran Khan would again have to deal with the country's generals. It is clear, though, that at one time, the military at least consented to you as prime minister. And now you feel that they are involved in a plot to kill you. How did your relationship with them go sour?"
Do you feel then that you do not have bad relations with the entire military or the military leadership at this point?,"Look. Well, Steve, let me for a start say that, look - the military in Pakistan is a reality. We became a security state 75 years ago or 74 years ago when we had a conflict with India. Still, the military was pretty predominant in our affairs. And that has to be for a while. But unfortunately, the situation in Pakistan right now is the only institution that is - that works, that is strong is the military. You know, it's the one institution that can actually - if the government works for them, you can bring them under the rule of law. The problem right now is that there is an imbalance. And that balance has to be there, because if a civilian government gets the responsibility of the vote from the people to run, it must also have the authority. And that balance is what needs to be reset.",Do you feel then that you do not have bad relations with the entire military or the military leadership at this point?
"Do you believe you would be able to work with the military if you returned to power, given that you have accused at least one member of the military of plotting to kill you?","Well, you know, the military has its own good and bad. I mean, just like my political party would have its - you know, the bad eggs in it, members in the military do make mistakes.","Do you believe you would be able to work with the military if you returned to power, given that you have accused at least one member of the military of plotting to kill you?"
"Imran Khan also seemed ready to deal with another perceived power in Pakistan, the United States. During his final days in office, he accused a U.S. State Department official of plotting against him. But he insists that if returned to power, he would be realistic.","Is it because my government has gone that I should harbor a grudge with the U.S. forever? No because it's not about me. It's about my country. So that - in that sense, I mean, it's all behind. So, you know, we have to move forward, and we have to have a new type of relationship with the U.S., which I've always said. Unfortunately, our relationships in the past have been very lopsided. They've really been a sort of master-slave type relationship, which has been very demeaning, humiliating for people of Pakistan.","Imran Khan also seemed ready to deal with another perceived power in Pakistan, the United States. During his final days in office, he accused a U.S. State Department official of plotting against him. But he insists that if returned to power, he would be realistic."
" Imran, what was the point of the rally to the tribal areas, to Waziristan? You took a huge number of people, a massive convoy, but they didn't get to where you were trying to go.","Well, the rally achieved its purpose. Basically it was to raise awareness in Pakistan -- well, there already is awareness in Pakistan. But outside Pakistan, there's drones, the drones are counterproductive. You don't kill your way to peace. There's 10 years of -- 11 years of war in Afghanistan, ages (ph) and Pakistan, what have we achieved? It's time to give peace a chance."," Imran, what was the point of the rally to the tribal areas, to Waziristan? You took a huge number of people, a massive convoy, but they didn't get to where you were trying to go."
"How do you plan to do this, because, look, the drones are there, whether you agree with them or not, basically because the Pakistani military and the state have not been able to tackle these militants.","Christiane, everyone is sick of the militants. Everyone in Pakistan -- and I know, of course, in the U.S., they are tired of war. We are sick of militants and this war. Now the issue is how do we resolve it?","How do you plan to do this, because, look, the drones are there, whether you agree with them or not, basically because the Pakistani military and the state have not been able to tackle these militants."
"So Imran, describe to me precisely, then, your strategy for winning them over, in other words, hearts and minds, winning them in a way that's not a military way."," Well, Christiane, what I -- when we went to this rally, on the last border town of Waziristan, it's called Tank, we got the reception -- and they were -- we were received by the people of Waziristan. They got -- gave us this huge reception. The first time, someone had come to engage them. And I'm telling you this is the key to peace. Win the people over to your side. So what I would do is, first of all, I would call for a cease- fire. In Pakistan, I would say the army stops all operations and effort (ph). I would ask the U.S. not to do any drone attacks because they're counterproductive. Because what happens is Pakistan army, it seems like a collaborator of the U.S. So the militants target Pakistan army. And there's an unending chain of violence going on. So I would have a cease- fire, I would ask the U.S., don't do drone attacks.","So Imran, describe to me precisely, then, your strategy for winning them over, in other words, hearts and minds, winning them in a way that's not a military way."
"I hear you. I hear the passion. And of course, we're watching this military solution go on and on without end. So we know that this is a big problem. But you have been quoted as saying that you would try to negotiate with the Taliban. You would try to do exactly what you're doing. And you said you could do it within 90 days. But the Taliban have said that that's just Dream-O-Vision, that you don't know what you're talking about.","look, I know their soul (ph). What is the Taliban? I mean, who are the Taliban? There's a Chinese proverb, ""Know your enemy."" Who are they? Since I -- my party, by the way, is by far the most popular party in Pakistan's tribal area, where the Taliban operate. So how would I deal with it? I -- first of all, because I know, look, the ideological Taliban -- you know, when you say they want to impose their system of sharia or their way of life, that's -- I can tell you that they're not more than 3 percent to 5 percent of the whole fighters. They're not more than 3 percent to 5 percent. The majority are either they are people who are reacting to Pakistan army, perceived as a mercenary army, and causing collateral damage, either they've gone that side or they have always -- this area has always resisted foreigners.","I hear you. I hear the passion. And of course, we're watching this military solution go on and on without end. So we know that this is a big problem. But you have been quoted as saying that you would try to negotiate with the Taliban. You would try to do exactly what you're doing. And you said you could do it within 90 days. But the Taliban have said that that's just Dream-O-Vision, that you don't know what you're talking about."
"Imran, all of this presupposes that you become the next leader, the next prime minister. Clearly, that seems to be what you're aiming for. And you and I have talked a lot about this in the past and how you have not wanted to necessarily enter government because you believe government is corrupt and the system is corrupt.","I -- and I hope you come and cover this election. My party, Tehreek-e-Insaf, will sweep the elections. We -- our membership has crossed 10 million. It's unheard of. Membership, 10 million. The entire young -- the youth force (ph) in Pakistan is with Tehreek-e-Insaf, my party. There are 40 million new voters who are going to vote for the first time ever, total vote bank (ph) is about 85 million. So 14 million young people, all wanting a change. It's the only party that is out of government. All the major parties are in government. The moment the elections -- the election campaign starts, Tehreek-e-Insaf will sweep Pakistan, my party. It'll sweep Pakistan because people want a change. They have seen all the parties over and over again. ","Imran, all of this presupposes that you become the next leader, the next prime minister. Clearly, that seems to be what you're aiming for. And you and I have talked a lot about this in the past and how you have not wanted to necessarily enter government because you believe government is corrupt and the system is corrupt."
You must be watching the U.S. elections. Who would you like to see win? President Obama reelected or Mitt Romney become president?,"Well, either of them who stops this war. I want an anti-war president. We've prayed -- I've prayed for Obama because I wanted Obama to stop this insanity called war of terror, because terrorism is not -- you don't fight it with bombs and planes. Terrorism is you winning hearts and minds of people. It was -- I want to -- I have a president in the U.S. who tries to wins in hearts and minds of the Muslim world. That's how he'll win this insane war with billions and billions and trillions of dollars have been spent. What result has this war produced? I mean, over a trillion. I don't know how many trillion dollars spent, a million people killed? What is the result of this war? I don't even know.
",You must be watching the U.S. elections. Who would you like to see win? President Obama reelected or Mitt Romney become president?
"So you are a Bollywood megastar. And you've turned yourself into a very prominent social activist. What are you doing here in the United States, activism or filming?","Well, I'm filming a very major Bollywood action film down in Chicago. So we've been there for a couple of months and another one month or so to go of filming.","So you are a Bollywood megastar. And you've turned yourself into a very prominent social activist. What are you doing here in the United States, activism or filming?"
"And how does it feel to sort of swap between, you know, what is fantasy and celluloid and the very hard and real and gritty topics that you -- that you do on your program?","Well, I have to say that this program has been a hugely enriching experience and something that has really transformed my life in so many ways. But in a sense, I'm an entertainer and I hopefully make people laugh and cry.","And how does it feel to sort of swap between, you know, what is fantasy and celluloid and the very hard and real and gritty topics that you -- that you do on your program?"
"Well, cry, probably in the program, because your program, you take on some very, very serious, serious issues, everything from female feticide to child abuse, child marriage, dowries, health and all sorts of things, untouchables.","Well, I mean, I just feel that for years I had been thinking about trying to use my -- whatever goodwill I've earned over the years to try and see if I can use that in a way that I can give back to society. And I also feel that so many of us back home in India want to do so much, you know, for our society and country. But often we don't have the right knowledge and information about what's happening. And we believe, my team, my team and I, we believe that with information and knowledge you empower a person and hopefully that changes his actions as well.","Well, cry, probably in the program, because your program, you take on some very, very serious, serious issues, everything from female feticide to child abuse, child marriage, dowries, health and all sorts of things, untouchables."
Which is the rigid caste system.," is the caste system in India, which often people find very difficult to speak about. It's a very touchy topic. Child sexual abuse is a very sensitive topic. People want to, you know, kind of just --",Which is the rigid caste system.
Sweep it under the carpet., pretend it doesn't exist or that it's not happening. And whereas the figures show us -- numbers show us that it's about almost one in every second child goes through some sort of an abuse back home in India.,Sweep it under the carpet.
you're going to do. Is that's because you don't want people to turn off or what?,"You know, these are very dark topics and very difficult topics. If I tell them beforehand that my topic is female feticide, a lot of people may not want to watch such a heavy topic. Or if it's child sexual abuse, they might decide, oh, yes, I know it happens, but I'm not really keen on watching this on a Sunday morning. So I think that the topic itself may drive people away. But we believe that once a person sits to watch down, he still has a choice. I mean, he has the remote in his hand; he can change the channel; he can shut the TV off.",you're going to do. Is that's because you don't want people to turn off or what?
"Well, indeed, and this is a very difficult story. I mean, studies show that up to 12 million girls have been aborted in the past 30 years in your country. So two questions: do people watch? What are the numbers like for your program? And does it make a difference? Are the politicians listening?","Well, what I'm really happy is I think the political (ph) class in the country has responded really well to the show. And I think that -- I genuinely believe that India, at this point of time, the sense that I get is that India is changing and wants to change. And the success of the show really is an indicator of that, because we've had about, you know, it's difficult to calculate how many people in India have seen the show, but there are various numbers floating around, like 500 million and --
","Well, indeed, and this is a very difficult story. I mean, studies show that up to 12 million girls have been aborted in the past 30 years in your country. So two questions: do people watch? What are the numbers like for your program? And does it make a difference? Are the politicians listening?"
"So the politicians better listen, then. I mean, you met with the top elected leader in Rajasthan about this particular show and about this problem of female feticide.","And I have to say that, you know, all credit to him and the chief justice of the state for taking such swift action on the issue. And I think that, you know, the political class (ph) in India has, in fact, responded very fast and very strongly to various of the topics that we -- that we discussed.","So the politicians better listen, then. I mean, you met with the top elected leader in Rajasthan about this particular show and about this problem of female feticide."
"What other topics have you tackled that you feel that you've got at least a bite, at least some notice and awareness from the politicians?","You know, I would have to say that almost all topics have had a very strong response. I think health care, for one, has had a very strong response. I think untouchability had a very, very deep and strong response on not only -- you know, when I say people, politicians are people as well, you know. They are affected by everything, like you and I.","What other topics have you tackled that you feel that you've got at least a bite, at least some notice and awareness from the politicians?"
So you're going to soldier on?,"We're going to soldier on and also I feel that, I think, some - - I'm a very idealistic kind of a person. I believe that even people who are part of the problem can become part of the solution. I believe that.",So you're going to soldier on?
"Well, speaking of the times, is your famous exercise regime still in play considering your bullet injuries and considering your schedule these days with your 150-something court cases?"," I still haven’t fully recovered from my bullet wound because it damaged my nerve in my right foot, so therefore, exercise is very limited. And then I have, well, almost 160 cases now, so my time is really spent from one courtroom to the other. Plus, I mean a lot of them are terrorism cases. I mean, I’m supposed to have committed terrorism, so about forty odd cases are related to terrorism.","Well, speaking of the times, is your famous exercise regime still in play considering your bullet injuries and considering your schedule these days with your 150-something court cases?"
